year,country,type,n,region,subregion,intermediate_region,least_developed,land_locked_developing,small_island_developing,code_region,code_subregion,code_intermediate_region,code_m49,code_iso_alpha2,code_iso_alpha3
2007,Sweden,pv,316850,Europe,Northern Europe,NA,0,0,0,150,154,NA,752,SE,SWE
2007,Sweden,cv,49170,Europe,Northern Europe,NA,0,0,0,150,154,NA,752,SE,SWE
2007,Taiwan,pv,212685,Asia,Eastern Asia,NA,0,0,0,142,30,NA,NA,CN-TW,TWN
2007,Taiwan,cv,70354,Asia,Eastern Asia,NA,0,0,0,142,30,NA,NA,CN-TW,TWN
2007,Thailand,pv,315444,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,764,TH,THA
2007,Thailand,cv,971902,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,764,TH,THA
2007,Turkey,pv,634883,Asia,Western Asia,NA,0,0,0,142,145,NA,792,TR,TUR
2007,Turkey,cv,464530,Asia,Western Asia,NA,0,0,0,142,145,NA,792,TR,TUR
2007,Ukraine,pv,380061,Europe,Eastern Europe,NA,0,0,0,150,151,NA,804,UA,UKR
2007,Ukraine,cv,22530,Europe,Eastern Europe,NA,0,0,0,150,151,NA,804,UA,UKR
2007,United Kingdom,pv,1534567,Europe,Northern Europe,NA,0,0,0,150,154,NA,826,GB,GBR
2007,United Kingdom,cv,215686,Europe,Northern Europe,NA,0,0,0,150,154,NA,826,GB,GBR
2007,USA,pv,3924268,Americas,Northern America,NA,0,0,0,19,21,NA,840,US,USA
2007,USA,cv,6856461,Americas,Northern America,NA,0,0,0,19,21,NA,840,US,USA
2007,Uzbekistan,pv,170000,Asia,Central Asia,NA,0,1,0,142,143,NA,860,UZ,UZB
2007,Uzbekistan,cv,14900,Asia,Central Asia,NA,0,1,0,142,143,NA,860,UZ,UZB
2007,Others,pv,420770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,Others,cv,282019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Argentina,pv,399236,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,32,AR,ARG
2008,Argentina,cv,197509,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,32,AR,ARG
2008,Australia,pv,285590,Oceania,Australia and New Zealand,NA,0,0,0,9,53,NA,36,AU,AUS
2008,Australia,cv,43966,Oceania,Australia and New Zealand,NA,0,0,0,9,53,NA,36,AU,AUS
2008,Austria,pv,125836,Europe,Western Europe,NA,0,0,0,150,155,NA,40,AT,AUT
2008,Austria,cv,25441,Europe,Western Europe,NA,0,0,0,150,155,NA,40,AT,AUT
2008,Belgium,pv,680131,Europe,Western Europe,NA,0,0,0,150,155,NA,56,BE,BEL
2008,Belgium,cv,44367,Europe,Western Europe,NA,0,0,0,150,155,NA,56,BE,BEL
2008,Brazil,pv,2545729,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,76,BR,BRA
2008,Brazil,cv,670247,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,76,BR,BRA
2008,Canada,pv,1195436,Americas,Northern America,NA,0,0,0,19,21,NA,124,CA,CAN
2008,Canada,cv,886805,Americas,Northern America,NA,0,0,0,19,21,NA,124,CA,CAN
2008,China,pv,6737745,Asia,Eastern Asia,NA,0,0,0,142,30,NA,156,CN,CHN
2008,China,cv,2561435,Asia,Eastern Asia,NA,0,0,0,142,30,NA,156,CN,CHN
2008,Czech Republic,pv,934046,Europe,Eastern Europe,NA,0,0,0,150,151,NA,203,CZ,CZE
2008,Czech Republic,cv,12521,Europe,Eastern Europe,NA,0,0,0,150,151,NA,203,CZ,CZE
2008,Egypt,pv,77563,Africa,Northern Africa,NA,0,0,0,2,15,NA,818,EG,EGY
2008,Egypt,cv,42297,Africa,Northern Africa,NA,0,0,0,2,15,NA,818,EG,EGY
2008,Finland,pv,17519,Europe,Northern Europe,NA,0,0,0,150,154,NA,246,FI,FIN
2008,Finland,cv,376,Europe,Northern Europe,NA,0,0,0,150,154,NA,246,FI,FIN
2008,France,pv,2145935,Europe,Western Europe,NA,0,0,0,150,155,NA,250,FR,FRA
2008,France,cv,423043,Europe,Western Europe,NA,0,0,0,150,155,NA,250,FR,FRA
2008,Germany,pv,5532030,Europe,Western Europe,NA,0,0,0,150,155,NA,276,DE,DEU
2008,Germany,cv,513700,Europe,Western Europe,NA,0,0,0,150,155,NA,276,DE,DEU
2008,Hungary,pv,342359,Europe,Eastern Europe,NA,0,0,0,150,151,NA,348,HU,HUN
2008,Hungary,cv,3696,Europe,Eastern Europe,NA,0,0,0,150,151,NA,348,HU,HUN
2008,India,pv,1846051,Asia,Southern Asia,NA,0,0,0,142,34,NA,356,IN,IND
2008,India,cv,486277,Asia,Southern Asia,NA,0,0,0,142,34,NA,356,IN,IND
2008,Indonesia,pv,431423,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,360,ID,IDN
2008,Indonesia,cv,169205,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,360,ID,IDN
2008,Iran,pv,1048307,Asia,Southern Asia,NA,0,0,0,142,34,NA,364,IR,IRN
2008,Iran,cv,225474,Asia,Southern Asia,NA,0,0,0,142,34,NA,364,IR,IRN
2008,Italy,pv,659221,Europe,Southern Europe,NA,0,0,0,150,39,NA,380,IT,ITA
2008,Italy,cv,364553,Europe,Southern Europe,NA,0,0,0,150,39,NA,380,IT,ITA
2008,Japan,pv,9928143,Asia,Eastern Asia,NA,0,0,0,142,30,NA,392,JP,JPN
2008,Japan,cv,1647501,Asia,Eastern Asia,NA,0,0,0,142,30,NA,392,JP,JPN
2008,Malaysia,pv,484512,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,458,MY,MYS
